customer_id,signup_date,signup_month,plan,region,acquisition_channel,industry,seats,monthly_mrr,onboarding_completed,integrations_connected,weekly_active_days,support_tickets_90d,payment_failures_90d,csat_score,status,churn_month,churn_reason,tenure_months
CUST-0001,2025-11-01,2025-11-01,Business,North America,Organic,EdTech,18,136.61,Yes,3,4.3,2,0,8.1,Churned,2026-01-01,Switched competitor,2
CUST-0002,2025-08-09,2025-08-01,Starter,MEA,Paid Search,EdTech,2,30.84,Yes,0,2.6,2,0,6.6,Active,,,11
CUST-0003,2026-02-20,2026-02-01,Business,Europe,Organic,EdTech,15,143.38,Yes,3,5.5,1,0,9.2,Active,,,5
CUST-0004,2025-12-22,2025-12-01,Growth,Europe,Organic,B2B SaaS,8,77.38,Yes,3,3.7,2,0,8.0,Active,,,7
CUST-0005,2025-01-11,2025-01-01,Starter,North America,Content,Retail,4,34.20,No,0,3.1,3,0,6.3,Churned,2025-08-01,Missing integration,7
CUST-0006,2026-01-28,2026-01-01,Starter,APAC,Referral,Creator Tools,1,31.82,No,2,1.4,3,0,4.2,Active,,,6
CUST-0007,2025-10-09,2025-10-01,Business,North America,Organic,FinTech,16,169.69,Yes,5,4.8,0,1,9.1,Active,,,9
CUST-0008,2025-07-06,2025-07-01,Growth,APAC,Paid Search,EdTech,3,79.57,Yes,1,3.1,1,3,8.1,Churned,2025-12-01,Company downsized,5
CUST-0009,2025-03-16,2025-03-01,Enterprise,North America,Paid Search,Retail,67,437.39,Yes,5,6.8,2,3,9.8,Active,,,16
CUST-0010,2025-02-01,2025-02-01,Growth,North America,Organic,EdTech,5,67.86,No,2,2.9,2,0,6.6,Active,,,17
CUST-0011,2026-03-19,2026-03-01,Growth,North America,Paid Search,Creator Tools,5,73.92,Yes,3,5.2,0,0,9.4,Active,,,4
CUST-0012,2025-03-07,2025-03-01,Starter,Europe,Paid Search,Healthcare,4,33.99,Yes,0,3.5,1,1,9.1,Active,,,16
CUST-0013,2026-03-28,2026-03-01,Starter,Europe,Paid Search,Creator Tools,1,29.06,No,1,2.1,4,0,5.5,Active,,,4
CUST-0014,2025-04-10,2025-04-01,Starter,North America,Referral,EdTech,8,25.68,No,0,3.0,3,1,8.4,Churned,2025-06-01,Price sensitivity,2
CUST-0015,2025-11-20,2025-11-01,Starter,APAC,Partner,Healthcare,6,26.99,No,1,3.7,0,0,9.4,Active,,,8
CUST-0016,2025-10-04,2025-10-01,Starter,North America,Organic,Healthcare,1,26.07,No,1,2.8,1,1,7.3,Active,,,9
CUST-0017,2025-11-18,2025-11-01,Starter,APAC,Content,FinTech,1,22.94,Yes,2,2.9,1,0,8.6,Active,,,8
CUST-0018,2026-02-03,2026-02-01,Growth,APAC,Organic,Healthcare,6,81.51,No,2,1.9,2,0,7.1,Churned,2026-06-01,Switched competitor,4
CUST-0019,2025-01-12,2025-01-01,Business,APAC,Referral,Healthcare,23,170.57,Yes,3,5.1,2,0,7.5,Active,,,18
CUST-0020,2026-02-01,2026-02-01,Starter,LATAM,Referral,Creator Tools,5,28.18,No,0,2.9,0,1,9.8,Active,,,5
CUST-0021,2026-03-12,2026-03-01,Starter,APAC,Organic,EdTech,3,24.58,No,0,2.1,2,0,6.0,Active,,,4
CUST-0022,2026-03-06,2026-03-01,Growth,MEA,Organic,Retail,8,69.39,Yes,1,3.5,0,0,7.2,Active,,,4
CUST-0023,2025-09-26,2025-09-01,Growth,APAC,Referral,B2B SaaS,3,71.13,Yes,0,4.3,1,0,6.9,Active,,,10
CUST-0024,2025-06-05,2025-06-01,Starter,APAC,Paid Search,B2B SaaS,5,24.74,No,1,1.4,2,0,6.7,Active,,,13
CUST-0025,2025-08-22,2025-08-01,Starter,Europe,Content,B2B SaaS,2,32.76,Yes,2,4.8,0,0,10.0,Active,,,11
CUST-0026,2026-03-20,2026-03-01,Business,North America,Paid Search,B2B SaaS,12,167.24,Yes,3,4.3,0,0,7.9,Active,,,4
CUST-0027,2025-05-26,2025-05-01,Enterprise,Europe,Organic,FinTech,69,409.10,No,5,4.3,1,0,8.3,Active,,,14
CUST-0028,2026-02-18,2026-02-01,Growth,North America,Referral,Creator Tools,4,80.55,Yes,0,3.2,3,0,6.3,Churned,2026-04-01,Low product usage,2
CUST-0029,2025-04-07,2025-04-01,Starter,Europe,Paid Search,Creator Tools,1,25.39,Yes,1,2.7,2,1,7.2,Active,,,15
CUST-0030,2026-02-27,2026-02-01,Starter,APAC,Paid Search,Retail,1,24.16,No,2,1.6,2,0,6.2,Active,,,5
CUST-0031,2025-03-20,2025-03-01,Growth,LATAM,Partner,B2B SaaS,4,72.60,Yes,1,3.2,2,0,7.8,Active,,,16
CUST-0032,2025-08-27,2025-08-01,Starter,North America,Paid Search,Healthcare,7,27.63,Yes,3,7.0,2,0,8.8,Active,,,11
CUST-0033,2025-12-19,2025-12-01,Enterprise,Europe,Organic,Healthcare,67,318.69,Yes,3,3.4,2,0,5.2,Churned,2026-02-01,Low product usage,2
CUST-0034,2026-01-19,2026-01-01,Business,North America,Paid Search,Healthcare,19,156.26,Yes,1,3.5,1,0,7.0,Active,,,6
CUST-0035,2025-08-24,2025-08-01,Growth,APAC,Partner,Retail,6,85.65,No,0,2.1,2,2,7.8,Churned,2025-12-01,Missing integration,4
CUST-0036,2026-01-11,2026-01-01,Starter,Europe,Referral,Retail,1,28.56,Yes,1,4.1,1,0,8.2,Active,,,6
CUST-0037,2025-01-10,2025-01-01,Starter,APAC,Organic,Retail,2,27.59,Yes,0,2.9,1,0,7.3,Active,,,18
CUST-0038,2025-10-25,2025-10-01,Growth,North America,Referral,Healthcare,8,78.26,No,2,3.8,2,0,8.0,Churned,2025-11-01,Switched competitor,1
CUST-0039,2025-11-25,2025-11-01,Growth,LATAM,Partner,Creator Tools,7,77.05,Yes,0,5.6,1,0,8.0,Active,,,8
CUST-0040,2025-10-10,2025-10-01,Starter,North America,Partner,Creator Tools,4,30.97,No,1,2.2,1,0,5.5,Active,,,9
CUST-0041,2025-02-24,2025-02-01,Starter,APAC,Partner,Healthcare,1,28.85,No,1,2.6,3,0,6.9,Active,,,17
CUST-0042,2025-02-08,2025-02-01,Enterprise,APAC,Partner,B2B SaaS,71,319.19,Yes,7,6.5,1,0,9.4,Active,,,17
CUST-0043,2026-01-19,2026-01-01,Enterprise,Europe,Paid Search,Healthcare,70,369.76,Yes,6,5.4,1,0,9.2,Active,,,6
CUST-0044,2026-02-19,2026-02-01,Enterprise,MEA,Partner,Healthcare,80,334.47,Yes,6,6.0,1,0,8.5,Active,,,5
CUST-0045,2025-02-12,2025-02-01,Starter,North America,Organic,FinTech,2,27.55,Yes,0,2.3,2,0,5.8,Active,,,17
CUST-0046,2026-01-01,2026-01-01,Growth,Europe,Paid Search,FinTech,7,70.24,Yes,0,2.3,0,0,7.8,Active,,,6
